,Type,DCLX009B,DCLX009C,DCLX003C,DCLX004A,DCLX005C,DCLX005D,DCLX007B,DCLX007C,DCLX011A,DCLX011B,DCLX008C,DCLX009A,DCLX003A,DCLX003B,DCLX004B,DCLX004C,DCLX005E,DCLX007A,DCLX008A,DCLX008B,DCLX012A,DCLX012B,DCLX003F,DCLX003G,DCLX008E,DCLX009D,DCLX005A,DCLX005B,DCLX006B,DCLX006C,DCLX010A,DCLX010B,DCLX012C,DCLX012D,DCLX003D,DCLX003E,DCLX007E,DCLX008D,DCLX004D,DCLX004E,DCLX006A,DCLX006D,DCLX007D,DCLX009E,DCLX010C,DCLX010D,DCLX011C,DCLX011D
Acremonium_persicinum3_3503|g6589.t1,NRPS-like,0,0.072113204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426364864,0.126382299,0.523217225,0.24133973,0,0.109906746,0,0,0,0,0,0,0.146167196,0.180730688,0.907475443,0.18894599,0.952293057,0.470630679,0.059367943,0.04204196,0.127731822,0,0,0,0.051553358,0
Acremonium_persicinum3_2854|g3827.t1,NRPS-like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acremonium_persicinumA3_2858|g2566.t1,RiPP-like,0,0,0,0,0,0,0,0,0.037437465,0,0,0,0,0,0,0.045294255,0,0.042957862,0,0,0,0,0,0,0,0,0.028191656,0,0,0,0,0,0,0.024814959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acremonium_persicinum_MAG|g6775.t1,T1PKS,0,0.099464168,0,0,0,0,0,0,0,0,0.253045845,0,0,0,0,0.039499568,0.038638783,0,0,0,0,0,2.946271285,3.982377455,3.393306279,0.853866762,0,0.060758307,0,0.064890508,0.195162115,0.735887527,0,0.021640275,0.484822178,0.199821958,4.960936761,0.452627658,31.29941387,5.440677242,0.62357244,2.161460042,6.017345686,0.195061448,0.096557546,0.038730961,0.056999135,0.030916705
Acremonium_persicinum_MAG|g1473.t1,T1PKS,0,0,0,0,0,0,0,0.040478846,0,0.020845588,0.06932317,0.054254689,0,0,0,0,0.026463218,0,0,0,0,0,0.322858281,0.287103198,0.330165211,1.169605275,0,0.05548347,0,0.018919836,0,0.232097692,0,0,0,0,1.603401144,0.09538431,3.199922841,0.926582523,0.269732807,0.254685054,0.451373866,0.03817004,0,0,0.039037993,0.127046781
Acremonium_persicinum_MAG|g1103.t1,T1PKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132379693,0,0.07814112,0.123577449,0,0,0,0,0,0,0,0
Acremonium_persicinum3_15288|g10143.t1,T1PKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083500146,0.396015388,0.170779843,0.094528909,0.008709522,0.219117949,0,0,0,0,0,0.007666326,0.057251351,0.035394659,0.651212176,0.02466904,2.354829281,0.715454597,0.076782967,0.016467163,0.033353673,0.019743671,0,0,0.060577875,0
Acremonium_persicinumA3_2857|g16005.t1,T1PKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341735436,0.17228009,0,0,0,0,0,0,0,0
Acremonium_persicinum3_15288|g8566.t1,T1PKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15658312,0.232070421,0.096076145,0.088632369,0,0,0,0,0,0.067539071,0,0.007188115,0.107360233,0.132747219,0.111090561,0.02313023,0.415305583,0.138271844,0,0,0,0,0,0,0.056799138,0
Acremonium_persicinum3_15288|g6099.t1,T1PKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094324965,0.335515621,0.270087239,0.085426783,0,0.032419651,0,0,0,0,0,0.008660176,0.258693281,1.439393868,0.981499978,0,1.422065618,1.457650867,0.157608085,0.018601938,0,0.022303208,0.025760773,0.030999322,0.045620726,0.049489962
Acremonium_persicinum3_15288|g7618.t1,T1PKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173268206,0.308159084,0.106313768,0.137307522,0.009036411,0.014888144,0,0,0,0,0,0,0.178200386,0.146892414,0.655616426,0.051189854,0.991680933,0.34426289,0.048252461,0.051255642,0.034605515,0,0,0,0,0.045454758
Acremonium_persicinum3_2854|g4917.t1,T1PKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acremonium_persicinum3_3503|g5535.t1,T1PKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acremonium_persicinum3_3503|g9632.t1,T1PKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acremonium_persicinum_MAG|g3859.t1,T3PKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454339029,1.88544091,0.371697305,0.822957557,0,0.078078548,0,0.053249493,0.107484242,0,0,0,0,0,0.859569499,0.134228599,1.268467279,0.40120733,0.253052498,0.179201475,0.181483222,0,0,0,0,0.119190192
Acremonium_persicinum_MAG|g6394.t1,Terpene,0.109388107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267562663,0,0.070192417,0,0,0,0,0.053054751,4.281830507,5.584534696,2.452092669,2.229793851,0.133985506,0.809419831,0.229141465,0.100367915,0.10129645,0,0,0.117937192,0.587162041,5.082039045,12.55631266,1.26501153,23.78930595,6.80598191,1.192422218,0.506654916,1.453800566,0.202488399,0.116939629,0.140719738,0.207092807,0.112328497
Acremonium_persicinum_MAG|g4285.t1,Terpene,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616050406,0,0,0.080885119,0,0,0,0,0,2.467049764,0.585022732,1.81647651,1.228875812,0,0.254378759,0,0,0,0.141881833,0,0,0,0.627450767,5.134185388,0.437314797,7.714275696,3.267818915,0.824441307,0.097305961,0.591269662,0,0.134753529,0,0.119320057,0
Acremonium_persicinum3_15288|g7567.t1,Terpene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31084106,0,0.356149387,0,0,0,0,0,0.452317801,0,0.048139724,0,0,0,0,0.439161256,0.463012114,0,0,0.523600419,0,0,0,0,0
Acremonium_persicinum3_2854|g4575.t1,Terpene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192788277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
