,Week,Compartment,Treat,Treatment,Plottime,Sampletime,Compartmentyear,Group,Groupyear,Groupyear1
TP13Z2,13,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-13,Rhizosphere2016-Control-13,Rhizosphere_Y16P1-Control-13
TP13Z19,13,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-13,Rhizosphere2016-Control-13,Rhizosphere_Y16P1-Control-13
TP13Z12,13,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-13,Rhizosphere2016-Control-13,Rhizosphere_Y16P1-Control-13
TP13Z11,13,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-13,Rhizosphere2016-Control-13,Rhizosphere_Y16P1-Control-13
TP13Z1,13,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-13,Rhizosphere2016-Control-13,Rhizosphere_Y16P1-Control-13
TP14Z20,14,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-14,Rhizosphere2016-Control-14,Rhizosphere_Y16P1-Control-14
TP14Z2,14,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-14,Rhizosphere2016-Control-14,Rhizosphere_Y16P1-Control-14
TP14Z19,14,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-14,Rhizosphere2016-Control-14,Rhizosphere_Y16P1-Control-14
TP14Z12,14,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-14,Rhizosphere2016-Control-14,Rhizosphere_Y16P1-Control-14
TP14Z11,14,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-14,Rhizosphere2016-Control-14,Rhizosphere_Y16P1-Control-14
TP14Z1,14,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-14,Rhizosphere2016-Control-14,Rhizosphere_Y16P1-Control-14
TP15Z20,15,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-15,Rhizosphere2016-Control-15,Rhizosphere_Y16P1-Control-15
TP15Z2,15,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-15,Rhizosphere2016-Control-15,Rhizosphere_Y16P1-Control-15
TP15Z19,15,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-15,Rhizosphere2016-Control-15,Rhizosphere_Y16P1-Control-15
TP15Z12,15,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-15,Rhizosphere2016-Control-15,Rhizosphere_Y16P1-Control-15
TP15Z11,15,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-15,Rhizosphere2016-Control-15,Rhizosphere_Y16P1-Control-15
TP15Z1,15,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-15,Rhizosphere2016-Control-15,Rhizosphere_Y16P1-Control-15
TP16Z20,16,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-16,Rhizosphere2016-Control-16,Rhizosphere_Y16P1-Control-16
TP16Z2,16,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-16,Rhizosphere2016-Control-16,Rhizosphere_Y16P1-Control-16
TP16Z19,16,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-16,Rhizosphere2016-Control-16,Rhizosphere_Y16P1-Control-16
TP16Z12,16,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-16,Rhizosphere2016-Control-16,Rhizosphere_Y16P1-Control-16
TP16Z11,16,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-16,Rhizosphere2016-Control-16,Rhizosphere_Y16P1-Control-16
TP16Z1,16,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-16,Rhizosphere2016-Control-16,Rhizosphere_Y16P1-Control-16
TP17Z20,17,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-17,Rhizosphere2016-Control-17,Rhizosphere_Y16P1-Control-17
TP17Z2,17,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-17,Rhizosphere2016-Control-17,Rhizosphere_Y16P1-Control-17
TP17Z19,17,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-17,Rhizosphere2016-Control-17,Rhizosphere_Y16P1-Control-17
TP17Z12,17,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-17,Rhizosphere2016-Control-17,Rhizosphere_Y16P1-Control-17
TP17Z11,17,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-17,Rhizosphere2016-Control-17,Rhizosphere_Y16P1-Control-17
TP17Z1,17,Rhizosphere,Control,Rhizosphere_Y16P1,Y16plot,Y16sample,Rhizosphere2016,Rhizosphere-Control-17,Rhizosphere2016-Control-17,Rhizosphere_Y16P1-Control-17
