gene_id,UP
Acremonium_persicinum3_15288|g670.t1,0
Acremonium_persicinum3_15288|g671.t1,0
Acremonium_persicinum3_15288|g672.t1,0
Acremonium_persicinum3_15288|g673.t1,0
Acremonium_persicinum3_15288|g678.t1,0
Acremonium_persicinum3_15288|g679.t1,0
Acremonium_persicinum3_15288|g683.t1,1
Acremonium_persicinum3_15288|g684.t1,0
Acremonium_persicinum3_15288|g689.t1,0
Acremonium_persicinum3_15288|g694.t1,0
Acremonium_persicinum3_15288|g699.t1,0
Acremonium_persicinum3_15288|g700.t1,0
Acremonium_persicinum3_15288|g703.t1,0
Acremonium_persicinum3_15288|g706.t1,0
Acremonium_persicinum3_15288|g708.t1,0
Acremonium_persicinum3_15288|g709.t1,0
Acremonium_persicinum3_15288|g711.t1,0
Acremonium_persicinum3_15288|g712.t1,0
Acremonium_persicinum3_15288|g713.t1,0
Acremonium_persicinum3_15288|g715.t1,0
Acremonium_persicinum3_15288|g716.t1,0
Acremonium_persicinum3_15288|g723.t1,0
Acremonium_persicinum3_15288|g724.t1,0
Acremonium_persicinum3_15288|g725.t1,0
Acremonium_persicinum3_15288|g726.t1,0
Acremonium_persicinum3_15288|g730.t1,0
Acremonium_persicinum3_15288|g736.t1,0
Acremonium_persicinum3_15288|g737.t1,0
Acremonium_persicinum3_15288|g738.t1,0
Acremonium_persicinum3_15288|g739.t1,0
Acremonium_persicinum3_15288|g741.t1,1
Acremonium_persicinum3_15288|g742.t1,0
Acremonium_persicinum3_15288|g743.t1,0
Acremonium_persicinum3_15288|g744.t1,0
Acremonium_persicinum3_15288|g745.t1,0
Acremonium_persicinum3_15288|g746.t1,0
Acremonium_persicinum3_15288|g747.t1,0
Acremonium_persicinum3_15288|g749.t1,0
Acremonium_persicinum3_15288|g750.t1,0
Acremonium_persicinum3_15288|g759.t1,1
Acremonium_persicinum3_15288|g761.t1,0
Acremonium_persicinum3_15288|g762.t1,0
Acremonium_persicinum3_15288|g768.t1,0
Acremonium_persicinum3_15288|g773.t1,0
Acremonium_persicinum3_15288|g775.t1,0
Acremonium_persicinum3_15288|g780.t1,0
Acremonium_persicinum3_15288|g782.t1,0
Acremonium_persicinum3_15288|g789.t1,0
Acremonium_persicinum3_15288|g790.t1,0
Acremonium_persicinum3_15288|g792.t1,0
Acremonium_persicinum3_15288|g794.t1,0
Acremonium_persicinum3_15288|g795.t1,0
Acremonium_persicinum3_15288|g798.t1,0
Acremonium_persicinum3_15288|g799.t1,0
Acremonium_persicinum3_15288|g805.t1,0
Acremonium_persicinum3_15288|g806.t1,0
Acremonium_persicinum3_15288|g810.t1,0
Acremonium_persicinum3_15288|g818.t1,0
Acremonium_persicinum3_15288|g825.t1,0
Acremonium_persicinum3_15288|g829.t1,0
Acremonium_persicinum3_15288|g839.t1,0
Acremonium_persicinum3_15288|g841.t1,0
Acremonium_persicinum3_15288|g844.t1,0
Acremonium_persicinum3_15288|g846.t1,0
Acremonium_persicinum3_15288|g855.t1,0
Acremonium_persicinum3_15288|g858.t1,0
Acremonium_persicinum3_15288|g861.t1,0
Acremonium_persicinum3_15288|g871.t1,0
Acremonium_persicinum3_15288|g872.t1,0
Acremonium_persicinum3_15288|g886.t1,0
Acremonium_persicinum3_15288|g887.t1,0
Acremonium_persicinum3_15288|g892.t1,0
Acremonium_persicinum3_15288|g893.t1,0
Acremonium_persicinum3_15288|g894.t1,0
Acremonium_persicinum3_15288|g896.t1,0
Acremonium_persicinum3_15288|g897.t1,0
Acremonium_persicinum3_15288|g898.t1,0
Acremonium_persicinum3_15288|g899.t1,0
Acremonium_persicinum3_15288|g901.t1,0
Acremonium_persicinum3_15288|g902.t1,0
Acremonium_persicinum3_15288|g907.t1,0
Acremonium_persicinum3_15288|g908.t1,0
Acremonium_persicinum3_15288|g909.t1,0
Acremonium_persicinum3_15288|g914.t1,0
Acremonium_persicinum3_15288|g916.t1,0
Acremonium_persicinum3_15288|g917.t1,0
Acremonium_persicinum3_15288|g921.t1,0
Acremonium_persicinum3_15288|g922.t1,0
Acremonium_persicinum3_15288|g923.t1,0
Acremonium_persicinum3_15288|g924.t1,1
Acremonium_persicinum3_15288|g926.t1,0
Acremonium_persicinum3_15288|g928.t1,0
Acremonium_persicinum3_15288|g944.t1,1
Acremonium_persicinum3_15288|g945.t1,0
