,Metagenome_count,Metatrans_count,Pangenome,A. persicinum_MAG,A. persicinum3.15288,A. persicinum3.1556,A. persicinum3.1579,A. persicinum3.2854,A. persicinum3.3503,A. persicinum3.2857,A. persicinum3.2858,A. persicinum3.2859,A. persicinum3.2862
C435,32,29,1,1,1,1,1,1,1,1,1,1,1
C436,64,3,1,1,1,1,1,1,1,1,1,1,1
C437,34,79,1,1,1,1,1,1,1,1,1,1,1
C438,84,246,1,1,1,1,1,1,1,1,1,1,1
C439,32,67,1,1,1,1,1,1,1,1,1,1,1
C443,158,107,1,1,1,1,1,1,1,1,1,1,1
C444,68.224,141,1,1,1,1,1,1,1,1,1,1,1
C445,14,11,1,1,1,1,1,1,1,1,1,1,1
C446,15,9,1,1,1,1,1,1,1,1,1,1,1
C447,30,148,1,1,1,1,1,1,1,1,1,1,1
C448,68,1840,1,1,1,1,1,1,1,1,1,1,1
C449,45,54,1,1,1,1,1,1,1,1,1,1,1
C451,101,42,1,1,1,1,1,1,1,1,1,1,1
C452,53,30,1,1,1,1,1,1,1,1,1,1,1
C453,81,70,1,1,1,1,1,1,1,1,1,1,1
C454,38,248,1,1,1,1,1,1,1,1,1,1,1
C455,101,237,1,1,1,1,1,1,1,1,1,1,1
C456,21,35,1,1,1,1,1,1,1,1,1,1,1
C457,76,34,1,1,1,1,1,1,1,1,1,1,1
C458,59,28,1,1,1,1,1,1,1,1,1,1,1
C461,117,11,1,1,1,1,1,1,1,1,1,1,1
C462,49,64,1,1,1,1,1,1,1,1,1,1,1
C463,41,53,1,1,1,1,1,1,1,1,1,1,1
C464,117,101.973,1,1,1,1,1,1,1,1,1,1,1
C465,90.286,1063.436,1,1,1,1,1,1,1,1,1,1,1
C466,93,256,1,1,1,1,1,1,1,1,1,1,1
C467,174,164,1,1,1,1,1,1,1,1,1,1,1
C468,14,40,1,1,1,1,1,1,1,1,1,1,1
C469,78,95,1,1,1,1,1,1,1,1,1,1,1
C470,112,344.4,1,1,1,1,1,1,1,1,1,1,1
C471,160,302,1,1,1,1,1,1,1,1,1,1,1
C472,81,108,1,1,1,1,1,1,1,1,1,1,1
C473,106,94,1,1,1,1,1,1,1,1,1,1,1
C474,35,14,1,1,1,1,1,1,1,1,1,1,1
C476,210,72,1,1,1,1,1,1,1,1,1,1,1
C477,118,38,1,1,1,1,1,1,1,1,1,1,1
C480,28,25,1,1,1,1,1,1,1,1,1,1,1
C481,375,2227,1,1,1,1,1,1,1,1,1,1,1
C482,130,568,1,1,1,1,1,1,1,1,1,1,1
C484,38,111,1,1,1,1,1,1,1,1,1,1,1
C485,61,11,1,1,1,1,1,1,1,1,1,1,1
C487,56,87,1,1,1,1,1,1,1,1,1,1,1
C488,58,12,1,1,1,1,1,1,1,1,1,1,1
C489,141.465,460.396,1,1,1,1,1,1,1,1,1,1,1
C490,58,248,1,1,1,1,1,1,1,1,1,1,1
C491,48,207,1,1,1,1,1,1,1,1,1,1,1
C492,32,33,1,1,1,1,1,1,1,1,1,1,1
C493,75,387,1,1,1,1,1,1,1,1,1,1,1
C494,74,191,1,1,1,1,1,1,1,1,1,1,1
C496,57,18,1,1,1,1,1,1,1,1,1,1,1
C497,21,13,1,1,1,1,1,1,1,1,1,1,1
C498,64,28,1,1,1,1,1,1,1,1,1,1,1
C499,365,443,1,1,1,1,1,1,1,1,1,1,1
C501,215,1858,1,1,1,1,1,1,1,1,1,1,1
C502,72,82,1,1,1,1,1,1,1,1,1,1,1
C503,387,32,1,1,1,1,1,1,1,1,1,1,1
C504,40,101,1,1,1,1,1,1,1,1,1,1,1
C505,13,30,1,1,1,1,1,1,1,1,1,1,1
C506,42,53,1,1,1,1,1,1,1,1,1,1,1
C507,155.066,767.223,1,1,1,1,1,1,1,1,1,1,1
C508,53,50,1,1,1,1,1,1,1,1,1,1,1
C509,22,8,1,1,1,1,1,1,1,1,1,1,1
